Entry	merged_ids
A6H8Y1	[' 11214970', ' 15489334', ' 15469824', ' 11419933', ' 17499043', '10473618', ' 11121026', ' 8423814', ' 15372022', ' 7659514', ' 28743884', ' 20711500', ' 1619662', ' 10574462', ' 1946469', ' 16542149', ' 15096501', ' 8407894', ' 9171375', ' 14702039', '11040218', ' 16769183', ' 9312031', ' 12381659', ' 12168954', ' 14592981', ' 24312468', ' 7995525', ' 17974005', ' 32504003', ' 11161782', ' 16956891', ' 18669648', ' 2404611', ' 32853945', ' 7568218', ' 20379614', ' 18391023']
O15534	[' 10719897', ' 16987893', ' 11865049', ' 15800623', ' 15489334', ' 20072116', ' 26339386', ' 25550826', ' 12381662', ' 12483227', ' 27602964', ' 32849922', ' 19413330', ' 12865428', ' 9428527', ' 26850841', ' 24578160', ' 24005054', ' 19675098', ' 14750904', ' 19330005', ' 32805476', ' 14702039', ' 9427249', ' 18400165', ' 23916625', ' 16628007', ' 16625196', ' 10857746', ' 17876059', ' 24551282', ' 15917222', ' 20174623', ' 17106427', ' 25310406', ' 19912323', ' 23303907', ' 26496610', ' 19948962', ' 17994337', ' 20861012', ' 25070164', ' 22217103', ' 24154698', ' 33804124', ' 26319354', ' 22801371', ' 17274950', ' 24678593', ' 14701732', ' 14712925', ' 19296127', ' 25863084', ' 32541172', ' 30665264', ' 17440215', ' 10807566', ' 20481271', ' 30110692', ' 16528748', ' 24857656', ' 17984998', ' 23405233', ' 19106159', ' 30121446', ' 19274088', ' 18321934', ' 17081983', ' 27492458', ' 18480551', ' 11591712', ' 18095154', ' 19693801', ' 18228528', ' 21380491', ' 26168277', ' 30774045', ' 29377895', ' 25344870', ' 17115977', ' 18821565', ' 23129285', ' 32086839', ' 17621597', ' 11306557', ' 12916719', ' 17218255', ' 17971899', ' 26624862', ' 26377793', ' 19861640', ' 23546644', ' 25127877', '10412192', ' 23133559', ' 15790588', ' 15781181', ' 19690332', ' 18419299', ' 20360068', ' 16474406', ' 11889036', ' 17525332', ' 25609649', ' 23186163', ' 19058789', ' 19752089', ' 30530698', ' 21459569', ' 16983144', ' 19923301', ' 21411511', ' 19013183', ' 27717682', ' 12782655', ' 21988832', ' 17592726', ' 16959974', ' 9619629', ' 16757810', ' 18669648', ' 17264841', ' 30195196', ' 10428031', ' 10848614', ' 19148895', ' 11779462', ' 17051316', ' 26507264', ' 33723221', ' 19839995', ' 17718421', ' 10531061', ' 23242607', ' 9455484', ' 16777965', ' 20978934', ' 25814554', ' 11165242', ' 18786386', ' 10940553', ' 11875063', ' 23752693', ' 26943040', ' 18990770', ' 20541418', ' 17699798', '9323128', ' 24449901', ' 23584858', ' 16507766', ' 9333243', ' 18430226', ' 19934327', ' 10790862', ' 23455922', ' 18815372', ' 20068231', ' 19805222', ' 18782782', ' 16678109', ' 11232563', ' 15817302', ' 15767683']
Q9BVI0	[' 15489334', ' 26960573', ' 27760318', ' 11780052', ' 19690332', ' 20360068', ' 22334668', ' 24675105', '14507994', ' 19608861', ' 11703362', ' 20018852', ' 23186163', ' 18478111', ' 14702039', ' 15906353', ' 20467438', ' 12800201', ' 33982773', ' 22449972', ' 8479525', '12097419', ' 7686617', ' 21406692', ' 19473719', ' 21986495', ' 22975685', ' 1535557', ' 22864287', ' 29452418', ' 26496610', ' 23797602', ' 1614537', ' 16415788', ' 26722404', ' 18669648', ' 20068231', ' 23452852', ' 15960975', ' 21150319']
Q7RTV0	[' 12176931', ' 27720643', ' 17932509', ' 21526149', '15461802', ' 15489334', ' 11118221', ' 30975767', ' 17332742', ' 6206566', ' 29566713', '11101529', ' 12477934', ' 11991638', ' 12414731', ' 24705354', ' 20360068', ' 34301950', ' 29656923', ' 22959432', ' 23651857', ' 14625303', ' 15024032', ' 23345524', ' 12411573', ' 30932358', ' 19608861', ' 28541300', ' 2963332', ' 33938017', ' 21269460', ' 15146077', ' 15166247', ' 11532962', ' 20423332', ' 23186163', ' 6088074', ' 22575643', ' 12054543', ' 10591208', ' 29361316', ' 20980672', ' 25944712', ' 30766880', ' 29700004', ' 21988832', ' 33509932', ' 16809785', ' 33243851', ' 23602568', ' 26244496', ' 26496610', ' 28781166', ' 18322460', ' 30315277', ' 29360106', ' 31054974', ' 12738865', ' 32494006', ' 12234937', ' 22365833', ' 19103666', ' 22623428', ' 22419818', ' 29491137', ' 23902751', ' 9731529']
Q8IWS0	[' 27165002', '14714741', ' 21880637', ' 15489334', ' 24380767', ' 23906836', ' 25601084', ' 32398456', ' 25737277', ' 11347906', ' 24092917', ' 19690332', ' 30530780', ' 19264739', ' 34520760', ' 22928734', ' 30888215', ' 27633282', ' 33537816', '12415272', ' 18847512', ' 19413330', ' 22720776', ' 26561469', ' 27479181', ' 14756673', ' 24674452', ' 32453232', ' 17525332', ' 20806366', ' 21269460', ' 25609649', ' 23186163', ' 15994862', ' 14714754', ' 27885656', ' 14702039', ' 31782600', ' 17081983', ' 21736506', ' 15466013', ' 28747286', ' 21030981', ' 31562564', ' 22682247', ' 23229552', ' 21406692', ' 24554700', ' 20228800', ' 32735658', ' 33149206', ' 15241480', ' 18691976', ' 17353931', ' 26496610', ' 32027463', ' 28112733', ' 15772651', ' 18669648', ' 20068231', ' 30567843', ' 22814378', ' 34473233', ' 25218447', ' 20813266', ' 21150319', ' 24895337', ' 32399860']
P35232	[' 24347342', '1540973', ' 23352452', ' 30396985', ' 15489334', ' 24275569', ' 19591124', ' 24966933', ' 22292133', ' 16426920', ' 26752685', ' 7744815', ' 22190034', ' 24937142', ' 24975845', ' 20516557', ' 21911578', ' 17873902', ' 25640309', ' 25777779', ' 25907612', ' 19608861', ' 20179705', ' 21993244', ' 23244120', ' 24133204', ' 24202393', ' 24388982', ' 31684984', ' 24247619', ' 22949832', ' 17932104', ' 28102850', ' 24725412', ' 18709484', ' 14702039', ' 20596663', ' 21061155', ' 18676680', ' 22179832', ' 16918502', ' 16625196', ' 22994754', ' 23752268', ' 12466959', ' 14743216', '10205168', ' 23587357', ' 22124450', ' 12821355', ' 20638487', ' 24380853', ' 27642048', ' 22238093', ' 9020159', ' 20830747', ' 29222040', ' 26496610', ' 23715748', ' 32306962', ' 21746876', ' 19497338', ' 20391533', ' 21318481', ' 21296110', ' 32859869', ' 16294014', ' 19238206', ' 22324369', ' 22711522', ' 30523154', ' 24023253', ' 21441910', ' 23327602', ' 22304920', ' 27084680', ' 19615732', ' 11377649', ' 20069396', ' 27025967', ' 21514245', ' 12068308', ' 19664078', ' 19725029', ' 24651010', ' 12065415', ' 27687727', ' 8244394', ' 24133587', ' 21269460', ' 22728421', ' 23453624', ' 25435214', ' 27981602', ' 20134482', ' 21896168', ' 19725052', ' 19738201', ' 27939217', ' 20130576', ' 24189400', ' 27485113', ' 29126391', ' 31899195', ' 28404970', ' 19071013', ' 25719244', ' 25344214', ' 22669161', ' 17284347', ' 18494604', ' 15250827', ' 11302691', ' 21275458', ' 30049713', ' 31009148', ' 20959514', ' 14500729', ' 28294412', ' 11325826', ' 21155232', ' 31558419', ' 16041367', ' 17932509', ' 22212092', ' 30998507', ' 23416715', ' 31391345', ' 19710421', ' 25932630', ' 19430483', ' 19640993', ' 19906925', ' 24470505', ' 19854158', ' 20360068', ' 20856874', ' 20186755', ' 22043453', ' 23993095', ' 15141164', ' 17043753', ' 19463016', ' 22410782', ' 24983503', ' 25609649', ' 22510884', ' 26064897', ' 24732013', ' 21152868', ' 20562859', ' 12354477', ' 12932319', ' 14637159', ' 16951178', ' 19034380', ' 16964284', ' 16319068', ' 22304787', ' 17018604', ' 25444511', ' 24003225', ' 22505583', ' 24879411', ' 15823758', ' 16705168', ' 28272969', ' 18789835', ' 30185797', ' 22589270', ' 15047060', ' 21903368', ' 26496733', ' 20186120', ' 34140524', ' 24166496', ' 28017329', ' 17544200', ' 24568222', ' 22997079', ' 32169072', ' 21209023', ' 15035987', ' 23870455', ' 28440457', ' 33259040', ' 18183577', ' 15614618', ' 24376711', ' 27327778', ' 18258228', ' 21783252', ' 17004108', ' 29242126', ' 19625176', ' 16364920', ' 21879722', ' 32665357', ' 22537547', ' 20133800', ' 25944712', ' 18397521', ' 33548975', ' 22904065', ' 12085232', ' 12932339', ' 20195357', ' 20877624', ' 23098474', ' 29324904', ' 18763282', ' 19327358', ' 19207009', ' 19170196', ' 27557820', ' 20141835', ' 19692168', ' 27812762', ' 31522117', ' 22623428']
P78364	[' 20098713', ' 33326746', ' 23418308', ' 19615980', ' 14752048', ' 12679040', ' 15489334', ' 17001316', ' 18172008', ' 9199346', ' 18487508', ' 18650381', ' 11959846', ' 23673342', ' 24782567', ' 19690332', ' 18391013', ' 25114211', ' 22402492', ' 22325352', ' 22078878', ' 20601937', ' 20711500', ' 11378386', ' 19413330', ' 19440552', ' 23287862', ' 15592428', ' 17332741', ' 19451218', ' 17974977', ' 20417598', ' 22321011', ' 11781575', ' 16169070', ' 17873065', ' 22325351', ' 16541075', ' 19884659', '11171983', ' 22825850', ' 25728608', ' 21282530', ' 17439403', ' 16189514', ' 19451217', ' 19706679', ' 23092970', ' 21406692', ' 26910647', ' 16676006', ' 21289308', ' 15563468', ' 33990559', ' 11545734', ' 19636380', ' 16702404', ' 26496610', '9121482', ' 16418168', ' 22128185', ' 28112733', ' 24718924', ' 19462008', ' 25218447', ' 12167701', ' 17018294', ' 20176810', ' 15161980']
Q86TG7	[' 17369855', ' 17621626', ' 30094509', ' 34357660', ' 15489334', ' 21903422', ' 30450735', ' 26680220', ' 33515207', ' 12853948', ' 23414517', ' 30953817', ' 33391523', ' 31318088', ' 18550496', ' 20711500', ' 25526181', ' 28992046', ' 28004118', ' 25665578', ' 33149023', ' 16423995', ' 16225771', ' 18625225', ' 21269460', ' 25199998', ' 25497084', ' 20460050', ' 32847979', '11318613', ' 14702039', ' 21205473', ' 17050006', ' 15611116', ' 31241046', ' 26235627', ' 27370270', ' 22673314', ' 21677654', ' 22137777', ' 21988832', ' 12810624', ' 15767280', ' 29044189', ' 26934961', ' 31702614', ' 10231032', ' 34413232', ' 29727698', ' 12620933', ' 20484977', ' 31530569', ' 25687862', ' 28193232', ' 21455631', ' 15231748', ' 26496610', ' 20084274', ' 32244497', ' 18669648', ' 20068231', ' 20362226', ' 17942406', ' 25416956', ' 21516116', '14576465', ' 21767414', ' 23902751']
Q16342	[' 15848047', ' 25334010', ' 15489334', ' 19615732', ' 24381196', ' 26589942', ' 23760497', ' 14574404', '7606924', ' 30664177', ' 33245768', ' 24255178', ' 22922207', ' 21269460', ' 25111461', ' 14702039', '14743216', ' 15231747', ' 16311922', ' 26617804', ' 20605493', ' 19146857', ' 25036637', ' 17468402']
P12004	[' 24637615', ' 28348485', ' 21245041', ' 22021614', ' 28746850', ' 17130289', ' 15199127', ' 18669164', ' 19714462', ' 30897015', ' 22772988', ' 15777783', ' 30301766', ' 22460582', ' 20522537', ' 24725412', ' 21978893', ' 23345618', ' 11884592', ' 28814116', ' 17164758', ' 15638382', ' 11250913', ' 24939902', ' 25755297', ' 21952639', ' 14743216', ' 17984070', ' 18342608', ' 20085707', ' 15617346', ' 19339270', ' 12226657', ' 22148433', ' 12145297', ' 24651726', ' 10744741', ' 20071335', ' 18799611', ' 19424044', ' 20154325', ' 8050359', ' 27906959', ' 20660785', ' 20004149', ' 26557712', ' 28924044', ' 30655288', ' 18242152', ' 20129063', ' 30102405', ' 16248462', ' 28447756', ' 11274057', ' 12584190', ' 27916662', ' 19895739', ' 23825390', ' 24115439', ' 28199690', ' 16463680', ' 18321066', ' 26731993', ' 29633969', ' 16357261', ' 22556262', ' 21424069', ' 21035370', ' 23317197', ' 14871894', ' 22623772', ' 10887153', ' 16512489', ' 19012493', ' 23604072', ' 7623816', ' 30942439', ' 10751307', ' 24695737', ' 26117423', ' 15772596', ' 22118461', ' 22592530', ' 12632497', ' 19483288', ' 11006276', ' 15358233', ' 26450907', ' 23686288', ' 26688547', ' 16464020', ' 20159559', ' 12088102', ' 12633936', ' 29290612', ' 34253239', ' 11864421', ' 20360068', ' 25692884', ' 33454555', ' 19156526', ' 27793507', ' 18499658', ' 16195237', ' 8144677', ' 25609649', ' 20423048', ' 34704055', ' 24012694', ' 24038470', ' 18498247', ' 20350215', ' 8131753', ' 11005803', ' 27849570', ' 18948756', ' 17203305', ' 22586102', ' 20150366', ' 11917024', ' 33029857', ' 21396873', ' 26673319', ' 16888288', ' 24141788', ' 20975039', ' 18662981', ' 1328683', ' 24379417', ' 23042607', ' 11376153', ' 22086303', ' 28348081', ' 11780052', ' 32314787', ' 21143968', ' 2565339', ' 28439008', ' 22989887', ' 26377631', ' 27516012', ' 12515622', ' 22721435', ' 31298327', ' 12937166', ' 15657443', ' 10559261', ' 23939377', ' 21738398', ' 16124066', ' 22238610', ' 29382432', ' 3941892', ' 22387026', ' 11809883', ' 17512402', ' 15149598', ' 33721434', ' 20605778', ' 23593472', ' 20848772', ' 19692168', ' 15681588', ' 16531995', ' 31629712', ' 20970388', ' 11929879', ' 32900933', ' 17927850', ' 28515154', ' 19279666', ' 12382578', ' 9305916', ' 24617039', ' 16584090', ' 17643379', ' 25675097', ' 7784094', ' 23101935', ' 12444249', ' 19608861', ' 20227374', ' 17298749', ' 22334915', ' 23846616', ' 24699724', ' 17043239', ' 20849852', ' 29917264', ' 14702039', ' 12439914', ' 30623174', ' 16189514', ' 16226749', ' 11805113', ' 16819516', ' 12947108', ' 20528769', ' 19067003', ' 30700555', ' 20826785', ' 19342888', ' 28112733', ' 32701997', ' 8751446', ' 30858175', ' 15033825', ' 19704162', ' 19730436', ' 20457750', ' 15576034', ' 19822659', ' 15000866', ' 29753763', ' 30705406', ' 22846997', ' 17063386', ' 19550124', ' 20713735', ' 26795561', ' 31134302', ' 15161643', ' 20064529', ' 11687589', ' 24061459', ' 17342744', ' 23840062', ' 31235252', ' 19738201', ' 11022036', ' 25732820', ' 22704558', ' 23542172', ' 24283290', ' 30554877', ' 16949367', ' 26503230', ' 18256758', ' 17880707', ' 18032376', ' 31257482', ' 31550741', ' 22383522', ' 21496642', ' 1682322', ' 11441019', ' 14657243', ' 10959839', ' 25972089', ' 18353733', ' 34667155', ' 12532471', ' 15805117', ' 25036435', ' 23042605', ' 19074197', ' 32311975', ' 17274640', ' 11595739', ' 2165567', ' 30861164', ' 23143872', ' 11698410', ' 19351509', ' 21220508', ' 11784855', ' 19221475', ' 18853184', ' 12390713', ' 18326858', ' 17525639', ' 22705370', ' 19130399', ' 17932049', ' 15254543', ' 11741962', ' 7711022', ' 15543136', ' 23000965', ' 29051491', ' 30335157', ' 22763828', ' 23527218', ' 28073635', ' 24267889', ' 18692475', ' 23963898', ' 22293751', ' 18510217', ' 21846465', ' 12125971', ' 22529391', ' 16188885', ' 18509272', ' 21768287', ' 18593712', ' 15638377', ' 20164194', ' 25114211', ' 22902628', '10460157', ' 26350214', ' 10536157', ' 16101161', ' 16388758', ' 17426132', ' 18284681', ' 2882422', ' 15225546', ' 28177605', ' 19153606', ' 15916957', ' 19625176', ' 9430682', ' 22057681', ' 9660172', ' 17720710', ' 25944712', ' 12479101', ' 29604309', ' 23485469', ' 32111820', ' 22859296', ' 20460379', ' 20580881', ' 30647135', ' 32481484', ' 20394503', ' 32783654', ' 16861890', ' 10856253', ' 15475561', ' 17517887', ' 20226869', ' 24852133', ' 26752685', ' 21536034', ' 21640107', ' 9875289', ' 32814343', ' 25013792', ' 24648516', ' 8658138', ' 26339416', ' 10473346', ' 15221970', ' 31607135', ' 12893285', ' 19367725', ' 15989970', ' 20551483', ' 21935871', ' 20823236', ' 28071730', ' 15647383', ' 22952233', ' 10477523', ' 9649448', ' 33157085', ' 12930846', ' 25416956', ' 21501231', ' 21694464', ' 10801132', ' 21704031', ' 28886337', ' 25712104', ' 20603015', ' 22681887', ' 28621305', ' 22304920', ' 22520514', ' 24768535', ' 33500339', ' 22622474', ' 9566895', ' 16407242', ' 27462463', ' 27759041', ' 22617335', ' 7973727', ' 18316726', ' 28611525', ' 11986310', ' 19237606', ' 21269460', ' 16934511', ' 9081985', ' 17285972', ' 28951215', ' 9302295', ' 14642618', ' 17108083', ' 30006506', ' 30943414', ' 25169136', ' 33288556', ' 9822671', ' 24561620', ' 11809771', ' 20803149', ' 31289003', ' 29095607', ' 34142156', ' 9780000', ' 34041875', ' 16826239', ' 16482215', ' 7876218', ' 16873062', ' 10984059', ' 17955473', ' 16407252', ' 21282463', ' 30590055', ' 22457066', ' 18184650', ' 28423618', ' 8861913', ' 20574454', ' 17274954', ' 19125419', ' 16888649', ' 21855803', ' 25772364', ' 28934471', ' 12452045', ' 22199292', ' 17720188', ' 20029092', ' 32276417', ' 22692198', ' 17828505', ' 20580447', ' 21371741', ' 10873631', ' 31492810', ' 19443450', ' 21167178', ' 19001268', ' 22966418', ' 16337601', ' 19104052', ' 16508013', ' 18845679', ' 15007108', ' 21549307', ' 16204460', ' 18274552', ' 25435364', ' 28180305', ' 23580141', ' 16510448', ' 24407433', ' 20952260', ' 29424068', ' 11968016', ' 18719106', ' 28157503', ' 15342632', ' 18703516', ' 25762514', ' 19170196', ' 21994455', ' 22759634', ' 20729856', ' 15107487', ' 26223641', ' 15489334', ' 16000169', ' 19536092', ' 23139781', ' 24275569', ' 25184665', ' 15931174', ' 17507928', ' 15595847', ' 32082966', ' 25733866', ' 11601988', ' 21911578', ' 24200966', ' 14657033', ' 17167529', ' 17115032', ' 19208623', ' 24911150', ' 31875566', ' 18312749', ' 14669354', ' 25058453', ' 21364740', ' 14636568', ' 19789190', ' 22153967', '2882507', ' 18676680', ' 16143102', ' 19481339', ' 21254647', ' 34329742', ' 15189446', ' 9214649', ' 19885588', ' 25825764', ' 26496610', ' 16611994', ' 16861906', ' 19170759', ' 12522211', ' 16227586', ' 15967114', ' 22303007', ' 23277426', ' 24474685', ' 11877408', ' 16139798', ' 23677613', ' 19941829', ' 28191891', ' 19723507', ' 29226655', ' 15572421', ' 33581499', ' 22634751', ' 20543468', ' 15616578', ' 21031434', ' 19492058', ' 19950226', ' 23711367', ' 18481002', ' 28777577', ' 11058110', ' 8104944', ' 11473323', ' 32549181', ' 15924676', ' 20453000', ' 16216273', ' 27084448', ' 20613874', ' 17353931', ' 19995904', ' 18949048', ' 12952891', ' 12200445', ' 22381917', ' 20733054', ' 11724925', ' 12452062', ' 14871261', ' 14676842', ' 33242956', ' 20932471', ' 19223468', ' 26711499', ' 16216562', ' 28102297', ' 23152873', ' 19460716', ' 16551699', ' 29875773', ' 16201313', ' 7713898', ' 16552335', ' 20562859', ' 24449906', ' 22918591', ' 16793375', ' 22859295', ' 19419956', ' 18839537', ' 10760286', ' 12786946', ' 19628465', ' 19851886', ' 21988832', ' 26408825', ' 19505873', ' 7378348', ' 18079701', ' 31128028', ' 21344488', ' 17564317', ' 17106521', ' 24485656', ' 14729473', ' 20211058', ' 20061190', ' 12857440', ' 18521065', ' 12782299', ' 9191022', ' 21628590', ' 15536154', ' 33984330', ' 29019895', ' 1974050', ' 8505312', ' 14612290', ' 20128380', ' 18794347', ' 26988343', ' 22700975', ' 23731732', ' 33982774', ' 27676213', ' 18319261', ' 18604718', ' 16888766', ' 18279620', ' 16344468', ' 18448427', ' 18072009', ' 21605556', ' 15140983', ' 1671046', ' 22362778', ' 18451105']
